Time,Altitude,OrientX,OrientY,OrientZ,VelX,VelY,VelZ,Battery,TimeSinceStartup,Longitude,Latitude,State,Frame,Longitude Change,Latitude Change,RSSI,SNR,SensorByte
03:27:17.140785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0036108493804932,0.0,0.0,0,0,0.0,0.0,-50,9.25,0
03:27:18.132077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0036115646362305,0.0,0.0,0,1,0.0,0.0,-49,9.75,0
03:27:19.135094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.003610372543335,0.0,0.0,0,2,0.0,0.0,-49,10.25,0
03:27:20.136045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.003608226776123,0.0,0.0,0,3,0.0,0.0,-50,9.75,0
03:27:21.139018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.003604412078857,0.0,0.0,0,4,0.0,0.0,-48,10.5,0
03:27:22.139491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.003945827484131,0.0,0.0,0,5,0.0,0.0,-50,10.0,0
03:27:23.142061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.003937244415283,0.0,0.0,0,6,0.0,0.0,-53,10.25,0
03:27:24.164060,2347.5390625,100.83222961425781,88.08377075195312,139.87620544433594,0.0002361806109547615,-0.000743986340239644,-0.0026866085827350616,15.140000343322754,8.037121772766113,-6.386845780070871e-05,-0.0,4,7,-6.386845780070871e-05,-0.0,-52,10.5,248
03:27:25.167040,2347.489013671875,101.09709930419922,88.08214569091797,140.02383422851562,0.000139494426548481,0.00030683306977152824,-6.62039965391159e-05,15.149999618530273,9.03681755065918,0.0001341095194220543,-0.0,4,8,0.0001341095194220543,-0.0,-51,9.75,248
03:27:26.168340,2347.47265625,101.29429626464844,88.08295440673828,140.0639190673828,-0.00018368195742368698,-0.0003652111627161503,2.687610685825348e-05,15.148750305175781,10.036835670471191,0.00031416030833497643,-0.0,4,9,0.00031416030833497643,-0.0,-50,10.0,248
